RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P,S_FEAT,S_AREA
215,41358.50000000000,0.09997340000,41.62940000000,85549.30000000000,200682.00000000000,583,3883.17000000000,17.17740000000,10.24280000000,3608,38125.1075936
216,41382.40000000000,0.10003100000,154.76700000000,85542.50000000000,200706.00000000000,715,3943.72000000000,21.06660000000,10.40260000000,3609,38126.1075936
217,41378.80000000000,0.10002300000,50.10500000000,85535.10000000000,200686.00000000000,649,3584.11000000000,19.12200000000,9.45399000000,3610,38127.1075936
218,41370.50000000000,0.10000200000,152.64600000000,85531.00000000000,200698.00000000000,676,3828.09000000000,19.91750000000,10.09750000000,3611,38128.1075936
219,41369.50000000000,0.10000000000,151.63900000000,85533.30000000000,200716.00000000000,737,3932.09000000000,21.71480000000,10.37190000000,3612,38129.1075936
220,41383.90000000000,0.10003500000,12.38660000000,85545.70000000000,200718.00000000000,644,3690.49000000000,18.97470000000,9.73460000000,3613,38130.1075936
221,41365.60000000000,0.09999060000,104.36700000000,85532.40000000000,200707.00000000000,682,3774.02000000000,20.09430000000,9.95491000000,3614,38131.1075936
222,41327.90000000000,0.09989950000,63.32890000000,85536.40000000000,200697.00000000000,636,3834.87000000000,18.73900000000,10.11540000000,3615,38132.1075936
223,41377.40000000000,0.10001900000,139.13600000000,85546.80000000000,200675.00000000000,684,3997.37000000000,20.15320000000,10.54410000000,3616,38133.1075936
224,41371.00000000000,0.10000400000,145.05800000000,85535.30000000000,200709.00000000000,688,3788.41000000000,20.27110000000,9.99289000000,3617,38134.1075936
225,41372.90000000000,0.10000800000,33.14480000000,85531.70000000000,200705.00000000000,637,3747.53000000000,18.76840000000,9.88504000000,3618,38135.1075936
226,41360.10000000000,0.09997740000,177.84900000000,85534.20000000000,200680.00000000000,663,3689.28000000000,19.53450000000,9.73140000000,3619,38136.1075936
227,41383.80000000000,0.10003500000,170.68200000000,85537.60000000000,200685.00000000000,721,3756.72000000000,21.24340000000,9.90928000000,3620,38137.1075936
228,41364.60000000000,0.09998820000,128.84100000000,85547.90000000000,200676.00000000000,716,3789.73000000000,21.09610000000,9.99637000000,3621,38138.1075936
229,41371.20000000000,0.10000400000,53.47190000000,85542.70000000000,200681.00000000000,627,3734.02000000000,18.47380000000,9.84940000000,3622,38139.1075936
230,41373.90000000000,0.10001100000,134.29400000000,85536.50000000000,200700.00000000000,738,3618.01000000000,21.74430000000,9.54340000000,3623,38140.1075936
231,41358.40000000000,0.09997320000,120.40300000000,85550.70000000000,200721.00000000000,703,3924.19000000000,20.71300000000,10.35100000000,3624,38141.1075936
232,41364.50000000000,0.09998810000,45.20660000000,85533.50000000000,200697.00000000000,658,3527.71000000000,19.38720000000,9.30522000000,3625,38142.1075936
233,41368.30000000000,0.09999720000,145.31800000000,85547.70000000000,200709.00000000000,713,3873.61000000000,21.00770000000,10.21760000000,3626,38143.1075936
234,41365.40000000000,0.09999030000,129.66300000000,85531.30000000000,200702.00000000000,745,3707.90000000000,21.95050000000,9.78052000000,3627,38144.1075936
235,41374.50000000000,0.10001200000,79.15410000000,85545.40000000000,200719.00000000000,657,3709.43000000000,19.35770000000,9.78453000000,3628,38145.1075936
236,41383.70000000000,0.10003400000,34.15220000000,85544.70000000000,200717.00000000000,633,3738.13000000000,18.65060000000,9.86024000000,3629,38146.1075936
237,41367.60000000000,0.09999550000,119.99500000000,85534.70000000000,200680.00000000000,690,3661.69000000000,20.33000000000,9.65863000000,3630,38147.1075936
238,41370.00000000000,0.10000100000,60.34170000000,85540.40000000000,200680.00000000000,647,3831.79000000000,19.06310000000,10.10730000000,3631,38148.1075936
239,41459.00000000000,0.10021700000,40.08450000000,85548.40000000000,200685.00000000000,590,4022.08000000000,17.38360000000,10.60920000000,3632,38149.1075936
240,41363.20000000000,0.09998480000,154.41400000000,85544.00000000000,200708.00000000000,707,3990.71000000000,20.83090000000,10.52650000000,3633,38150.1075936
241,41369.60000000000,0.10000000000,129.70100000000,85541.90000000000,200691.00000000000,675,3840.99000000000,19.88800000000,10.13160000000,3634,38151.1075936
242,41355.70000000000,0.09996680000,78.35360000000,85546.10000000000,200701.00000000000,645,3595.04000000000,19.00410000000,9.48281000000,3635,38152.1075936
243,41365.10000000000,0.09998950000,98.08190000000,85539.70000000000,200721.00000000000,691,3906.14000000000,20.35950000000,10.30340000000,3636,38153.1075936
244,41348.30000000000,0.09994900000,58.10490000000,85549.70000000000,200695.00000000000,710,3845.27000000000,20.91930000000,10.14290000000,3637,38154.1075936
245,41365.40000000000,0.09999020000,174.33800000000,85548.60000000000,200703.00000000000,748,3588.10000000000,22.03890000000,9.46451000000,3638,38155.1075936
