OBJECTID,RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P
353.0,353.0,493.7,0.1,59.0,120294.0,188523.0,63.0,38.6,14.0,12.6
354.0,354.0,505.0,0.1,55.0,120295.0,188532.0,78.0,25.4,17.4,8.3
355.0,355.0,505.4,0.1,42.0,120300.0,188541.0,59.0,28.7,13.1,9.4
356.0,356.0,502.8,0.1,33.0,120285.0,188560.0,62.0,31.9,13.8,10.5
357.0,357.0,488.6,0.1,18.0,120298.0,188567.0,79.0,43.2,17.6,14.2
358.0,358.0,500.9,0.1,40.0,120292.0,188562.0,89.0,32.5,19.8,10.6
359.0,359.0,423.0,0.1,113.0,120298.0,188562.0,86.0,37.9,19.2,12.4
360.0,360.0,487.3,0.1,3.0,120292.0,188531.0,57.0,27.9,12.7,9.1
361.0,361.0,521.1,0.1,157.0,120283.0,188532.0,78.0,32.0,17.4,10.5
362.0,362.0,472.2,0.1,82.0,120291.0,188543.0,62.0,40.8,13.8,13.4
363.0,363.0,453.5,0.1,112.0,120282.0,188541.0,66.0,38.5,14.7,12.6
364.0,364.0,490.5,0.1,172.0,120284.0,188554.0,74.0,33.1,16.5,10.8
365.0,365.0,558.8,0.1,110.0,120290.0,188535.0,48.0,16.1,10.7,5.3
366.0,366.0,514.1,0.1,156.0,120285.0,188565.0,77.0,25.1,17.1,8.2
367.0,367.0,506.4,0.1,32.0,120297.0,188521.0,72.0,25.1,16.0,8.2
368.0,368.0,491.3,0.1,177.0,120295.0,188520.0,88.0,28.1,19.6,9.2
369.0,369.0,498.1,0.1,78.0,120281.0,188541.0,58.0,22.2,12.9,7.3
370.0,370.0,485.1,0.1,77.0,120284.0,188556.0,56.0,31.6,12.5,10.4
371.0,371.0,488.7,0.1,4.0,120285.0,188519.0,61.0,37.5,13.6,12.3
372.0,372.0,488.8,0.1,174.0,120301.0,188557.0,73.0,29.8,16.3,9.8
373.0,373.0,457.5,0.1,111.0,120290.0,188560.0,87.0,34.2,19.4,11.2
374.0,374.0,496.1,0.1,175.0,120287.0,188540.0,86.0,28.1,19.2,9.2
375.0,375.0,466.8,0.1,28.0,120284.0,188554.0,75.0,28.1,16.7,9.2
376.0,376.0,482.6,0.1,26.0,120287.0,188533.0,74.0,33.6,16.5,11.0
377.0,377.0,504.0,0.1,60.0,120301.0,188524.0,67.0,36.6,14.9,12.0
378.0,378.0,457.9,0.1,83.0,120286.0,188542.0,72.0,22.8,16.0,7.5
379.0,379.0,490.2,0.1,174.0,120296.0,188544.0,58.0,25.5,12.9,8.4
380.0,380.0,488.4,0.1,116.0,120284.0,188548.0,67.0,29.4,14.9,9.6
381.0,381.0,455.2,0.1,74.0,120300.0,188534.0,55.0,36.0,12.2,11.8
382.0,382.0,502.6,0.1,167.0,120286.0,188522.0,79.0,40.4,17.6,13.2
383.0,383.0,504.9,0.1,55.0,120294.0,188533.0,85.0,27.4,18.9,9.0
384.0,384.0,487.5,0.1,104.0,120286.0,188549.0,65.0,33.5,14.5,11.0
385.0,385.0,483.3,0.1,135.0,120289.0,188561.0,68.0,27.3,15.1,8.9
386.0,386.0,452.2,0.1,67.0,120284.0,188538.0,65.0,24.4,14.5,8.0
387.0,387.0,516.2,0.1,168.0,120299.0,188550.0,79.0,35.4,17.6,11.6
388.0,388.0,487.6,0.1,176.0,120300.0,188539.0,63.0,31.1,14.0,10.2
389.0,389.0,426.0,0.1,70.0,120301.0,188556.0,74.0,39.9,16.5,13.1
390.0,390.0,467.6,0.1,152.0,120288.0,188528.0,59.0,27.9,13.1,9.1
391.0,391.0,482.9,0.1,102.0,120282.0,188525.0,63.0,26.4,14.0,8.6
392.0,392.0,483.5,0.1,50.0,120287.0,188523.0,72.0,31.0,16.0,10.2
393.0,393.0,528.7,0.1,25.0,120292.0,188549.0,83.0,33.2,18.5,10.9
394.0,394.0,475.1,0.1,84.0,120286.0,188529.0,77.0,31.0,17.1,10.2
395.0,395.0,526.7,0.1,19.0,120291.0,188531.0,70.0,25.6,15.6,8.4
